"Дата акції від дати завантаження до дати закінчення, план | Мережа | Продукція | Еталонний місяць","06.07-16.07.25 | Варус | торт Пінчер з вишнею (0,8кг) ОПТ | Травень","06.07-16.07.25 | Варус | торт Наполеон (1,0 кг) ОПТ  | Травень","06.07-16.07.25 | Варус | торт Червоний оксамит (0,5 кг)  | Травень",Мануилова А..3 | Мануилова А..3 | Мануилова А..3 | Мануилова А..3,"06.07-16.07.25 | Варус | торт Фісташка з лохиною (0,5 кг)  | Травень"
Акційний місяць,Липень,Липень,Липень,Мануилова А..3,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..3,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..3,45 900
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..3,204
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..3,"60,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..3,25%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..3,"11,50%"
"Повернення без акції, %",2%,1%,10%,Мануилова А..3,12%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..3,"2,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..3,"55,0%"
"Витрати на активацію, грн",0,0,0,Мануилова А..3,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..3,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..3,2
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..3,"1,78"
,,,,Мануилова А..3,
Резульати,,,,Мануилова А..3,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..3,436
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..3,73 532
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..3,15 078
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..3,30 516
,,,,Мануилова А..3,
